candidate_id,rank,score,reasoning
CAND_0050454,1,0.995413,"6.8 yrs in applied ML at product companies; shipped embedding-based retrieval (BGE/FAISS) and learning-to-rank at Uber/Adobe; strong eval focus; hands-on; in Delhi, willing to relocate."
CAND_0081846,2,0.994248,"6.7 yrs in applied AI at product companies; shipped hybrid search/ranking at scale (50M+ queries); deep hands-on with embeddings, FAISS, LTR, evaluation (NDCG); India-based, open to relocate."
CAND_0027691,3,0.992673,"6.5 yrs in applied ML at product companies; shipped semantic search, ranking, recommendations in production; strong on embeddings, FAISS, LTR, evaluation; Pune-based; hands-on IC."
CAND_0077337,4,0.992673,"7y in applied ML at product companies; shipped hybrid retrieval, embeddings, vector DBs (Qdrant/Pinecone), A/B testing; strong IR/ranking focus; hands-on; in India; willing to relocate"
CAND_0018499,5,0.989738,"7.2 yrs at top product companies (Zomato, Google, Flipkart) with shipped retrieval/ranking systems at scale. Built hybrid search, fine-tuned LLMs with PEFT, used BGE/FAISS, and rigorous eval. Based in"
CAND_0039754,6,0.988127,"8.3 yrs applied AI at top product companies; shipped end-to-end retrieval/ranking systems at scale (Meta, Apple); deep hands-on with embeddings, hybrid search, eval; strong production focus; in India"
CAND_0060054,7,0.987956,"6.4 yrs at product companies (Uber, Zomato, Mad Street Den); shipped semantic search with BGE/FAISS, hybrid recommendation systems at scale; strong eval focus; hands-on IC; India-based, willing to rel"
CAND_0000031,8,0.987343,"6Y in applied ML at product companies; shipped embedding-based retrieval & ranking at Swiggy, Zomato, Uber; strong IR, eval, FAISS/Pinecone; hands-on IC; in India; willing to relocate"
CAND_0017960,9,0.986297,"7.7 yrs in applied ML at product companies; shipped semantic search with sentence-transformers, FAISS, Pinecone; strong IR, ranking, A/B testing; hands-on production focus; in India; open to relocate."
CAND_0062247,10,0.986116,"7.3 yrs in applied AI at product companies; shipped embedding-based retrieval (FAISS, Qdrant) and learning-to-rank at scale; strong IR/NLP focus; hands-on production experience; willing to relocate."
CAND_0091534,11,0.985743,"16.6y exp with 7.2y applied ML; shipped embedding-based retrieval at Flipkart & Adobe using sentence-transformers, FAISS, Pinecone; owns ranking, A/B testing, production RAG; in India, willing to relo"
CAND_0066999,12,0.984823,"5.9 yrs at top product companies; shipped learning-to-rank, eval frameworks, RAG; strong in embeddings, FAISS, Pinecone, IR; owns production ranking systems at scale."
CAND_0039383,13,0.984432,"7+ yrs applied ML at product companies; shipped semantic search & ranking systems with embeddings, FAISS, evaluation; strong NLP/retrieval focus; in India; hands-on IC."
CAND_0091909,14,0.984250,"6.9 yrs in applied ML at AI/product companies; shipped retrieval & ranking systems at scale (10M+ users); strong in embeddings, vector DBs, evaluation; hands-on IC with production NLP/recsys work; Ind"
CAND_0006418,15,0.984138,"5.7 yrs in applied ML at product companies; shipped ranking, retrieval (Weaviate/Qdrant/Elasticsearch), RAG; owns eval rigor, A/B testing, full ML stack. Strong production focus, India-based, willing"
CAND_0086022,16,0.983578,"5.3 yrs in applied AI at product companies; shipped embedding-based retrieval, hybrid search, LTR, A/B testing at scale (Uber, Sarvam); hands-on with FAISS, Pinecone, BGE, eval; India-based, open to r"
CAND_0068811,17,0.983423,"8 yrs in applied ML at product companies; shipped embedding-based retrieval, hybrid search (Pinecone/Qdrant), and ranking systems with rigorous evaluation; hands-on IC, in India, willing to relocate."
CAND_0081053,18,0.982431,"5.4 yrs in applied ML at AI-native firms (Salesforce, Glance). Shipped semantic search w/ sentence-transformers & FAISS. Production retrieval, ranking (L2R), vector DBs (Weaviate, Qdrant). Rigorous ML"
CAND_0087630,19,0.982309,"7.2 yrs in applied ML at product companies; shipped embeddings-based retrieval & hybrid search at scale; strong in NLP, ranking, eval; hands-on with vector DBs, A/B testing; in India, willing to reloc"
CAND_0041610,20,0.980873,"6.7 yrs in applied ML at product companies; shipped embedding-based retrieval, LTR, hybrid search (Pinecone, BM25, Elasticsearch); strong eval rigor; hands-on IC; in India; willing to relocate"
CAND_0005649,21,0.980519,"7.4 yrs in applied AI at product companies; shipped semantic search (BGE, FAISS), RAG, ranking (XGBoost); strong IR, eval, production MLOps; India-based, open to relocate."
